emp_no,first_name,last_name,title,from_date,to_date
17988,Mabhin,Calkin,Senior Engineer,1989-11-30,9999-01-01
18021,Adil,Matzke,Engineer,1987-05-08,9999-01-01
18021,Adil,Matzke,Senior Engineer,1987-05-08,9999-01-01
18424,Filipp,Rousseau,Engineer,1995-06-07,9999-01-01
18424,Filipp,Rousseau,Senior Engineer,1995-06-07,9999-01-01
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,1989-04-24,9999-01-01
18617,Surveyors,Crouzet,Staff,1989-04-24,9999-01-01
18810,Taiji,Jarecki,Engineer,1991-06-27,9999-01-01
18810,Taiji,Jarecki,Senior Engineer,1991-06-27,9999-01-01
19236,Elzbieta,Morris,Engineer,1988-07-12,9999-01-01
19236,Elzbieta,Morris,Senior Engineer,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,Senior Staff,1994-03-27,9999-01-01
19350,Satoru,Yoshizawa,Staff,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,Engineer,1987-06-13,9999-01-01
19803,Ziva,Kowalchuk,Senior Engineer,1987-06-13,9999-01-01
20100,Utz,Heuter,Senior Staff,1986-06-15,9999-01-01
20100,Utz,Heuter,Staff,1986-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Engineer,1991-03-28,9999-01-01
20129,Rafael,Skafidas,Senior Engineer,1991-03-28,9999-01-01
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01
20500,Christoph,Trystram,Senior Staff,1993-10-15,9999-01-01
20500,Christoph,Trystram,Staff,1993-10-15,9999-01-01
20885,Otmar,Rothenberg,Engineer,1989-03-14,9999-01-01
20885,Otmar,Rothenberg,Senior Engineer,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,Assistant Engineer,1991-10-06,9999-01-01
21181,Jianhui,Cangellaris,Engineer,1991-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,Senior Staff,2002-03-19,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,1991-12-28,9999-01-01
21909,Mohammed,Brizzi,Staff,1991-12-28,9999-01-01
22185,Huai,Birch,Assistant Engineer,2002-06-12,9999-01-01
22185,Huai,Birch,Engineer,2002-06-12,9999-01-01
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,1994-01-19,9999-01-01
22451,Jasminko,Bresenham,Staff,1994-01-19,9999-01-01
22455,Barry,Unno,Senior Staff,1990-11-16,9999-01-01
22455,Barry,Unno,Staff,1990-11-16,9999-01-01
22926,Manibrata,Genther,Engineer,1988-01-15,9999-01-01
22926,Manibrata,Genther,Senior Engineer,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Engineer,1993-07-25,9999-01-01
24377,Lubomir,Wroclawski,Senior Engineer,1993-07-25,9999-01-01
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01
24553,Anwar,Passafiume,Senior Staff,1987-01-30,9999-01-01
24553,Anwar,Passafiume,Staff,1987-01-30,9999-01-01
24571,Cordelia,Gischer,Engineer,1989-03-14,9999-01-01
24571,Cordelia,Gischer,Senior Engineer,1989-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,1991-11-09,9999-01-01
25488,Ingmar,Basawa,Staff,1991-11-09,9999-01-01
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,9999-01-01
26671,Jiakeng,Kalorkoti,Senior Engineer,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,Engineer,1988-04-23,9999-01-01
26788,Zongyan,Dalphin,Senior Engineer,1988-04-23,9999-01-01
27331,Wanqing,Krohm,Senior Staff,1991-01-22,9999-01-01
27331,Wanqing,Krohm,Staff,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Engineer,1990-03-02,9999-01-01
27620,Shuji,Kandlur,Senior Engineer,1990-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,1993-11-21,9999-01-01
27767,Tooru,Veldwijk,Staff,1993-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,Engineer,1988-12-14,9999-01-01
28193,Xinglin,Mitsuhashi,Senior Engineer,1988-12-14,9999-01-01
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Senior Staff,1988-03-21,9999-01-01
29265,Gilbert,Calkin,Staff,1988-03-21,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,2000-10-23,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Engineer,1990-02-23,9999-01-01
30007,Kousuke,Vecchio,Senior Engineer,1990-02-23,9999-01-01
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01
30182,Leon,Potthoff,Engineer,1985-12-08,9999-01-01
30182,Leon,Potthoff,Senior Engineer,1985-12-08,9999-01-01
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Senior Staff,1997-10-10,9999-01-01
30465,Randi,Avouris,Engineer,1986-07-16,9999-01-01
30465,Randi,Avouris,Senior Engineer,1986-07-16,9999-01-01
30938,Yakkov,Samarati,Staff,1997-10-10,9999-01-01
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01
31341,Oksana,Zultner,Senior Staff,1991-03-23,9999-01-01
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01
31341,Oksana,Zultner,Staff,1991-03-23,9999-01-01
32347,Terresa,Peres,Senior Staff,1990-09-15,9999-01-01
31514,Harngdar,Schapire,Engineer,1996-11-09,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,1996-11-09,9999-01-01
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01
31909,Murthy,Peek,Engineer,2000-10-30,9999-01-01
32347,Terresa,Peres,Staff,1990-09-15,9999-01-01
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01
32552,Atreye,Stanger,Assistant Engineer,1993-09-10,9999-01-01
32552,Atreye,Stanger,Engineer,1993-09-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,2001-09-18,9999-01-01
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01
33722,Anwar,Collette,Senior Engineer,2001-02-03,9999-01-01
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01
34077,Angel,Sichman,Senior Staff,1988-11-16,9999-01-01
34077,Angel,Sichman,Staff,1988-11-16,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,1990-12-30,9999-01-01
34261,Kyoichi,Callaway,Staff,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,Engineer,1991-05-10,9999-01-01
34452,Naftaly,Foong,Senior Engineer,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,1994-09-06,9999-01-01
34505,Felicidad,Kumaresan,Staff,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,1995-01-16,9999-01-01
34780,Moni,Kohling,Staff,2001-09-18,9999-01-01
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01
35642,Ashish,Talmon,Engineer,1999-02-28,9999-01-01
35044,Jiang,Waschkowski,Engineer,1989-05-27,9999-01-01
35044,Jiang,Waschkowski,Senior Engineer,1989-05-27,9999-01-01
35087,Leif,Ashish,Senior Staff,1994-10-14,9999-01-01
35087,Leif,Ashish,Staff,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,Engineer,1990-09-17,9999-01-01
35441,Chandrasekaran,Peek,Senior Engineer,1990-09-17,9999-01-01
35642,Ashish,Talmon,Senior Engineer,1999-02-28,9999-01-01
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01
35793,Oscar,Kusalik,Senior Staff,1991-05-11,9999-01-01
35793,Oscar,Kusalik,Staff,1991-05-11,9999-01-01
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,1987-03-06,9999-01-01
36521,Serif,Gladwell,Staff,1987-03-06,9999-01-01
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01
36982,Kotesh,Rajala,Engineer,1992-06-23,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,1992-06-23,9999-01-01
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01
37070,Jeong,Undy,Senior Staff,1985-02-13,9999-01-01
37070,Jeong,Undy,Staff,1985-02-13,9999-01-01
38043,Michaela,Randi,Engineer,1985-11-23,9999-01-01
38043,Michaela,Randi,Senior Engineer,1985-11-23,9999-01-01
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01
38103,Masasuke,Babu,Engineer,1988-03-31,9999-01-01
38103,Masasuke,Babu,Senior Engineer,1988-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,1987-08-15,9999-01-01
38168,Fumiko,Deverell,Staff,1987-08-15,9999-01-01
38593,Huei,Orsini,Engineer,1986-06-04,9999-01-01
38593,Huei,Orsini,Senior Engineer,1986-06-04,9999-01-01
39000,Martijn,Vendrig,Senior Staff,1997-03-03,9999-01-01
39000,Martijn,Vendrig,Staff,1997-03-03,9999-01-01
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,1998-04-08,9999-01-01
38947,Shuichi,Ruemmler,Staff,1998-04-08,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,1991-12-05,9999-01-01
39301,Rimon,Kawashima,Senior Staff,1992-02-06,9999-01-01
39301,Rimon,Kawashima,Staff,1992-02-06,9999-01-01
39341,Mahmut,Lampe,Engineer,1985-05-11,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Staff,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,Engineer,1985-05-11,9999-01-01
40283,Sudhanshu,Boissier,Senior Engineer,1985-05-11,9999-01-01
40301,Spyrose,Felder,Senior Engineer,1997-10-20,9999-01-01
40765,Michaela,Ramsak,Senior Staff,1992-12-21,9999-01-01
40536,Harngdar,Bernardinello,Engineer,1988-02-29,9999-01-01
40536,Harngdar,Bernardinello,Senior Engineer,1988-02-29,9999-01-01
40765,Michaela,Ramsak,Staff,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,Senior Staff,1986-04-13,9999-01-01
40773,Shimshon,Aingworth,Staff,1986-04-13,9999-01-01
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01
41137,Bikash,Buchter,Senior Staff,1996-01-08,9999-01-01
41137,Bikash,Buchter,Staff,1996-01-08,9999-01-01
41518,Keung,Schapiro,Senior Engineer,2001-02-08,9999-01-01
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01
42911,Brigham,Eterovic,Engineer,1994-10-08,9999-01-01
42778,Shuji,Remmers,Senior Staff,1987-12-18,9999-01-01
42778,Shuji,Remmers,Staff,1987-12-18,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01
42911,Brigham,Eterovic,Senior Engineer,1994-10-08,9999-01-01
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01
43154,Maha,Waterhouse,Senior Staff,1997-07-04,9999-01-01
43154,Maha,Waterhouse,Staff,1997-07-04,9999-01-01
43733,Huei,Boguraev,Senior Staff,1993-12-31,9999-01-01
43733,Huei,Boguraev,Staff,1993-12-31,9999-01-01
44959,Volkmar,Uhrik,Engineer,1988-01-16,9999-01-01
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01
44900,Mark,Schwaller,Senior Staff,1994-08-10,9999-01-01
44900,Mark,Schwaller,Staff,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01
46000,Zhaofang,Penn,Senior Staff,1997-07-24,9999-01-01
45162,Dulce,Speel,Engineer,1987-10-19,9999-01-01
45162,Dulce,Speel,Senior Engineer,1987-10-19,9999-01-01
46000,Zhaofang,Penn,Staff,1997-07-24,9999-01-01
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01
46943,Pasqua,Maraist,Engineer,1993-12-06,9999-01-01
46943,Pasqua,Maraist,Senior Engineer,1993-12-06,9999-01-01
47016,Toong,Litecky,Senior Staff,1989-03-01,9999-01-01
47016,Toong,Litecky,Staff,1989-03-01,9999-01-01
47702,Juyoung,Vieri,Senior Staff,1991-08-12,9999-01-01
47262,Gonzalo,Binkley,Engineer,1985-08-16,9999-01-01
47262,Gonzalo,Binkley,Senior Engineer,1985-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Staff,1991-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01
48275,Sariel,Massonet,Senior Staff,1987-11-20,9999-01-01
48275,Sariel,Massonet,Staff,1987-11-20,9999-01-01
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01
48882,Leen,Lamparter,Engineer,1993-06-07,9999-01-01
48882,Leen,Lamparter,Senior Engineer,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,Senior Staff,1994-03-07,9999-01-01
48904,Yuichiro,Malabarba,Staff,1994-03-07,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,1990-03-30,9999-01-01
49010,Kazuhisa,Benantar,Staff,1990-03-30,9999-01-01
49017,Filipp,Flanders,Engineer,1990-11-26,9999-01-01
49119,Lena,Peek,Engineer,1991-05-16,9999-01-01
49119,Lena,Peek,Senior Engineer,1991-05-16,9999-01-01
49017,Filipp,Flanders,Senior Engineer,1990-11-26,9999-01-01
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01
50831,Marie,Khalid,Senior Engineer,1996-06-11,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,1985-02-20,9999-01-01
50670,Boguslaw,Snedden,Staff,1985-02-20,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,1991-09-27,9999-01-01
51057,Theirry,Albarhamtoshy,Staff,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,Engineer,1989-10-20,9999-01-01
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01
51060,Youngkon,Rohrbach,Senior Engineer,1989-10-20,9999-01-01
51142,Rosine,Lakshmanan,Engineer,1986-01-31,9999-01-01
51142,Rosine,Lakshmanan,Senior Engineer,1986-01-31,9999-01-01
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52040,Phule,Heijenga,Senior Staff,1996-12-08,9999-01-01
52040,Phule,Heijenga,Staff,1996-12-08,9999-01-01
52386,Adas,Denti,Senior Staff,1986-05-30,9999-01-01
52386,Adas,Denti,Staff,1986-05-30,9999-01-01
52283,Trygve,Krupka,Senior Staff,1994-03-11,9999-01-01
52283,Trygve,Krupka,Staff,1994-03-11,9999-01-01
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01
52590,Jouni,Munoz,Senior Staff,1996-10-07,9999-01-01
52590,Jouni,Munoz,Staff,1996-10-07,9999-01-01
52599,Augustine,Mungall,Engineer,1994-01-13,9999-01-01
52599,Augustine,Mungall,Senior Engineer,1994-01-13,9999-01-01
52956,Khalil,Picci,Engineer,1998-11-24,9999-01-01
52770,Shugo,Yurek,Senior Staff,1992-08-28,9999-01-01
52770,Shugo,Yurek,Staff,1992-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01
52956,Khalil,Picci,Senior Engineer,1998-11-24,9999-01-01
52970,Lobel,Werthner,Engineer,1988-03-17,9999-01-01
52970,Lobel,Werthner,Senior Engineer,1988-03-17,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1993-05-24,9999-01-01
53278,Premsyl,Lortz,Senior Staff,1993-02-01,9999-01-01
53278,Premsyl,Lortz,Staff,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01
53499,Zdislav,Mandelberg,Engineer,1994-09-11,9999-01-01
53499,Zdislav,Mandelberg,Senior Engineer,1994-09-11,9999-01-01
54632,Etsuo,Serot,Senior Staff,1989-06-14,9999-01-01
53597,Jiafu,Marchegay,Engineer,1985-03-02,9999-01-01
53597,Jiafu,Marchegay,Senior Engineer,1985-03-02,9999-01-01
53874,Bodo,Schade,Senior Staff,1986-02-14,9999-01-01
53874,Bodo,Schade,Staff,1986-02-14,9999-01-01
53924,Arnould,Gaughan,Engineer,1991-01-23,9999-01-01
53924,Arnould,Gaughan,Senior Engineer,1991-01-23,9999-01-01
54198,Shaowen,Segond,Engineer,1986-01-06,9999-01-01
54198,Shaowen,Segond,Senior Engineer,1986-01-06,9999-01-01
54795,Sumant,Nergos,Senior Staff,1994-03-02,9999-01-01
54632,Etsuo,Serot,Staff,1989-06-14,9999-01-01
54795,Sumant,Nergos,Staff,1994-03-02,9999-01-01
55799,Jianwen,Litzler,Engineer,1987-06-17,9999-01-01
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01
55640,Adit,Syrotiuk,Engineer,1993-07-16,9999-01-01
55640,Adit,Syrotiuk,Senior Engineer,1993-07-16,9999-01-01
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Senior Engineer,1987-06-17,9999-01-01
55857,Adin,Scallan,Senior Staff,1987-09-15,9999-01-01
55857,Adin,Scallan,Staff,1987-09-15,9999-01-01
56209,Remzi,Douceur,Engineer,1992-12-01,9999-01-01
56105,Makato,Remmers,Engineer,1989-04-16,9999-01-01
56105,Makato,Remmers,Senior Engineer,1989-04-16,9999-01-01
56209,Remzi,Douceur,Senior Engineer,1992-12-01,9999-01-01
56829,Nagui,Gruenwald,Engineer,1997-06-14,9999-01-01
56415,Sigeru,Nivat,Senior Staff,1991-10-24,9999-01-01
56415,Sigeru,Nivat,Staff,1991-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,1986-11-10,9999-01-01
56428,Olivera,Hanabata,Staff,1986-11-10,9999-01-01
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01
56847,Menkae,Chinin,Senior Engineer,1998-08-27,9999-01-01
57934,Sanjoy,Boudaillier,Engineer,1989-12-27,9999-01-01
57934,Sanjoy,Boudaillier,Senior Engineer,1989-12-27,9999-01-01
58384,Mariusz,Vural,Engineer,1993-11-14,9999-01-01
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01
58384,Mariusz,Vural,Senior Engineer,1993-11-14,9999-01-01
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01
58497,Yechiam,Cairo,Senior Staff,2000-10-21,9999-01-01
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01
60000,Heekeun,Emmart,Assistant Engineer,1995-09-23,9999-01-01
59869,Zsolt,Riefers,Senior Staff,1987-09-25,9999-01-01
59869,Zsolt,Riefers,Staff,1987-09-25,9999-01-01
60000,Heekeun,Emmart,Engineer,1995-09-23,9999-01-01
60091,Surveyors,Bade,Senior Staff,1990-04-11,9999-01-01
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01
60091,Surveyors,Bade,Staff,1990-04-11,9999-01-01
60821,Moty,Mersereau,Senior Staff,1991-09-03,9999-01-01
60238,Erzsebet,Claffy,Staff,1999-02-19,9999-01-01
60559,Jeanna,Stemann,Engineer,1988-08-29,9999-01-01
60559,Jeanna,Stemann,Senior Engineer,1988-08-29,9999-01-01
60875,Rildo,Masaki,Engineer,1990-01-14,9999-01-01
60875,Rildo,Masaki,Senior Engineer,1990-01-14,9999-01-01
60821,Moty,Mersereau,Staff,1991-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01
61377,Dannz,Ohori,Senior Staff,1997-04-13,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,1989-10-19,9999-01-01
60959,Tetsushi,Sridhar,Staff,1989-10-19,9999-01-01
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Engineer,2002-05-09,9999-01-01
61253,Cheong,Uhrik,Senior Engineer,2002-05-09,9999-01-01
61541,Kasidit,Papsdorf,Engineer,1993-08-17,9999-01-01
61541,Kasidit,Papsdorf,Senior Engineer,1993-08-17,9999-01-01
61377,Dannz,Ohori,Staff,1997-04-13,9999-01-01
62033,Heeju,Cappelli,Engineer,1987-01-15,9999-01-01
61873,Woody,Rusmann,Assistant Engineer,1993-02-26,9999-01-01
61873,Woody,Rusmann,Engineer,1993-02-26,9999-01-01
62033,Heeju,Cappelli,Senior Engineer,1987-01-15,9999-01-01
62046,Karlis,Nanard,Engineer,1992-09-19,9999-01-01
62046,Karlis,Nanard,Senior Engineer,1992-09-19,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,Engineer,1997-03-01,9999-01-01
63294,Tetsushi,Tanemo,Senior Engineer,1997-03-01,9999-01-01
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,1987-10-15,9999-01-01
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01
64487,Tsutomu,Rebaine,Engineer,1986-09-17,9999-01-01
