emp_no,first_name,last_name,title,from_date,salary
10198,Pranav,Furedi,Engineer,1985-08-31,44076
10198,Pranav,Furedi,Senior Engineer,1993-08-31,44076
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,43944
10224,Leon,Trogemann,Engineer,1988-01-09,40000
10224,Leon,Trogemann,Senior Engineer,1996-01-09,40000
10233,Lein,Vendrig,Senior Staff,2000-04-28,40000
10233,Lein,Vendrig,Staff,1994-04-29,40000
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,66280
10258,Basil,Ishibashi,Engineer,1991-05-17,66280
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,66280
10272,Yishai,Cannane,Staff,1997-10-23,58070
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,40000
10282,Hercules,Benzmuller,Engineer,2001-05-02,40000
10283,Kauko,Birjandi,Engineer,1988-05-25,40000
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,40000
10326,Masali,Czap,Staff,1998-09-02,40000
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,68132
10340,Djelloul,Laventhal,Staff,1988-03-30,68132
10347,Pradeep,Kaminger,Staff,1998-02-20,42199
10355,Satyanarayana,Cochrane,Staff,1996-01-26,70434
10356,Vasilis,Standera,Senior Staff,1995-06-26,45376
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,51401
10372,Anneli,Frijda,Technique Leader,1985-07-30,54505
10387,Parto,Wrigley,Senior Staff,1999-01-07,61374
10387,Parto,Wrigley,Staff,1994-01-07,61374
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,40393
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,40000
10404,Prodip,Rosti,Engineer,1988-08-28,51647
10404,Prodip,Rosti,Senior Engineer,1996-08-28,51647
10426,Arunas,Luce,Technique Leader,1985-07-06,65757
10429,Martien,Improta,Senior Engineer,1988-09-23,40000
10432,Hisao,Tiemann,Senior Staff,1996-08-12,40000
10432,Hisao,Tiemann,Staff,1990-08-13,40000
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,46275
10451,Bodh,Ranta,Engineer,1993-03-12,46275
10451,Bodh,Ranta,Senior Engineer,1998-03-12,46275
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,40000
10453,Tsvetan,Matzel,Staff,1985-04-02,40000
10463,Ung,Zaiane,Staff,1994-02-17,66480
10486,Amstein,Kossowski,Engineer,1987-10-08,71692
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,71692
10494,Yakkov,Servieres,Engineer,1991-12-18,50094
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,50094
10504,Xiong,Varker,Staff,1999-10-19,43931
10512,Udi,Gihr,Senior Staff,1998-11-28,40000
10512,Udi,Gihr,Staff,1989-11-28,40000
10522,Marke,Cesareni,Senior Staff,1995-12-12,40000
10522,Marke,Cesareni,Staff,1986-12-12,40000
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,90631
10548,Ramalingam,Gunderson,Staff,1986-07-04,90631
10564,Jianhao,Thisen,Engineer,1995-11-23,46660
10564,Jianhao,Thisen,Senior Engineer,2000-11-22,46660
10623,Aleksander,Danlos,Engineer,1992-01-15,60268
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,60268
10628,Krisda,Krogh,Assistant Engineer,1987-03-14,41650
10628,Krisda,Krogh,Engineer,1994-03-14,41650
10628,Krisda,Krogh,Senior Engineer,2001-03-14,41650
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,40000
10642,Hirochika,Narlikar,Engineer,1998-10-05,40000
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,40000
10671,Parviz,Rebaine,Senior Staff,2001-09-13,74037
10671,Parviz,Rebaine,Staff,1995-09-14,74037
10676,Valeri,Danley,Engineer,1999-09-04,58226
10693,Berhard,Daescu,Senior Staff,1991-01-08,40000
10693,Berhard,Daescu,Staff,1986-01-08,40000
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,46581
10718,Adib,Rullman,Engineer,1988-07-21,75473
10718,Adib,Rullman,Senior Engineer,1997-07-21,75473
10726,Zita,Minakawa,Engineer,1992-02-25,46315
10726,Zita,Minakawa,Senior Engineer,2001-02-24,46315
10734,Sachar,Erdi,Engineer,1995-12-19,47377
10745,Poorav,Ranze,Engineer,1988-01-23,40000
10745,Poorav,Ranze,Senior Engineer,1997-01-22,40000
10749,King,Brendel,Engineer,1985-09-26,60829
10749,King,Brendel,Senior Engineer,1990-09-26,60829
10767,Monique,Doering,Staff,1997-07-15,40651
10768,Ishfaq,Candan,Engineer,1985-07-04,65717
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,65717
10778,Selwyn,Merey,Senior Staff,1986-07-04,64996
10791,Tadahiko,Sgarro,Engineer,1988-07-30,40000
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,40000
10795,Supot,Naudin,Senior Staff,1999-05-03,84206
10795,Supot,Naudin,Staff,1993-05-03,84206
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,40000
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,40000
10836,Jianhua,Leivant,Senior Staff,1987-08-10,65502
10844,Dipayan,Koprowski,Engineer,1997-04-25,40000
10847,Theirry,Danley,Senior Staff,1992-07-24,40000
10847,Theirry,Danley,Staff,1986-07-25,40000
10848,Fen,Bratsberg,Engineer,1985-04-20,50475
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,50475
10878,Lakshmi,Deville,Staff,1997-04-25,72102
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,65651
10883,Shimshon,Champarnaud,Engineer,1996-12-28,40000
10909,Georgi,Atchley,Engineer,1993-12-26,80935
10909,Georgi,Atchley,Senior Engineer,2000-12-26,80935
10921,Mara,Bahi,Engineer,1986-07-27,72601
10921,Mara,Bahi,Senior Engineer,1995-07-27,72601
10924,Hironoby,Atchley,Senior Staff,1997-08-14,84783
10924,Hironoby,Atchley,Staff,1988-08-14,84783
10927,Gal,Scallan,Senior Staff,1993-09-12,51819
10927,Gal,Scallan,Staff,1986-09-12,51819
10936,Mountaz,Schicker,Senior Staff,1996-05-08,40000
10936,Mountaz,Schicker,Staff,1990-05-09,40000
10943,Berna,Skafidas,Engineer,1993-05-22,45890
10943,Berna,Skafidas,Senior Engineer,1999-05-22,45890
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,61654
10969,Premal,Noriega,Senior Engineer,1994-05-12,40000
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,56005
10986,Masako,Schiper,Technique Leader,1985-10-11,43900
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,54174
10989,Sumali,Candan,Senior Staff,1991-07-20,46406
10989,Sumali,Candan,Staff,1985-07-20,46406
10990,Shin,Foote,Technique Leader,1990-08-06,40000
11009,Alper,Axelband,Senior Staff,1993-09-09,75111
11009,Alper,Axelband,Staff,1986-09-09,75111
11012,Taegyun,Speckmann,Staff,1996-07-06,72092
11019,Leon,Huttel,Engineer,1992-05-24,69387
11019,Leon,Huttel,Senior Engineer,1997-05-24,69387
11021,Srinidhi,Henders,Staff,1998-02-02,62670
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,40000
11027,Remzi,Cappello,Engineer,1991-05-07,40000
11027,Remzi,Cappello,Senior Engineer,1996-05-06,40000
11031,Ottavia,Walstra,Senior Staff,1993-10-24,71654
11031,Ottavia,Walstra,Staff,1985-10-24,71654
11037,Lansing,Maliniak,Engineer,1988-01-28,40000
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,40000
11038,Jinya,Beidas,Senior Staff,1992-07-15,44993
11038,Jinya,Beidas,Staff,1985-07-15,44993
11042,Gou,Breugel,Engineer,1993-06-21,40000
11042,Gou,Breugel,Senior Engineer,2000-06-21,40000
11048,Jaques,Demke,Senior Staff,1999-05-27,65697
11050,Elvis,Katiyar,Senior Staff,1991-05-06,52251
11050,Elvis,Katiyar,Staff,1986-05-06,52251
11051,Przemyslawa,Erol,Engineer,1991-03-27,40000
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,40000
11070,Adib,Raney,Engineer,1985-07-24,40000
11070,Adib,Raney,Senior Engineer,1991-07-24,40000
11081,Barry,Boyle,Senior Staff,1994-06-17,65686
11081,Barry,Boyle,Staff,1985-06-17,65686
11085,Hailing,Thummel,Senior Engineer,1996-02-10,66437
11100,Berna,Cochrane,Senior Staff,1993-10-13,40000
11100,Berna,Cochrane,Staff,1986-10-13,40000
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,71446
11106,Aris,Iwayama,Engineer,1991-08-31,71446
11106,Aris,Iwayama,Senior Engineer,1997-08-30,71446
11112,Boaz,Mukaidono,Staff,1995-04-28,40000
11113,Shahab,Peng,Senior Staff,1991-11-30,66401
11113,Shahab,Peng,Staff,1985-11-30,66401
11121,Vugranam,Kakkad,Engineer,1992-10-31,40000
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,40000
11133,Nalini,Azulay,Technique Leader,1994-03-06,40000
11134,Sachar,Rajcani,Engineer,1993-05-19,58731
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731
11137,Hugh,Luca,Engineer,1995-03-16,40000
11139,Bogdan,Homond,Senior Staff,1995-05-11,63596
11139,Bogdan,Homond,Staff,1990-05-11,63596
11146,Ishfaq,Masand,Senior Staff,1997-08-21,96019
11146,Ishfaq,Masand,Staff,1991-08-22,96019
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,56344
11148,Zhanqiu,Botman,Staff,1990-02-08,56344
11162,Kauko,Narlikar,Engineer,1985-03-28,69873
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,69873
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,40000
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,40000
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,88741
11204,Diederik,Covnot,Technique Leader,1985-09-18,40000
11207,Saeed,Gips,Engineer,1999-01-31,49728
11208,Saniya,Valtorta,Technique Leader,1994-11-17,83660
11211,Yurij,Rissland,Senior Engineer,1985-09-17,72668
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,40000
11232,Hidefumi,Crelier,Senior Staff,2000-08-01,43863
11232,Hidefumi,Crelier,Staff,1994-08-02,43863
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,61739
11240,Kiam,Condotta,Engineer,1997-01-06,61739
11249,Randi,Cyre,Assistant Engineer,1986-09-22,43324
11249,Randi,Cyre,Engineer,1994-09-22,43324
11251,Bezalel,Chinal,Senior Staff,1993-06-15,69432
11251,Bezalel,Chinal,Staff,1986-06-15,69432
11268,Aimee,Petersohn,Engineer,1987-10-25,40000
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,40000
11275,Hitomi,Eppinger,Engineer,1989-04-25,58382
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25,58382
11290,Visit,Dredge,Engineer,1999-05-13,65034
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,66622
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,66622
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,40000
11320,Atilio,McAlpine,Senior Staff,1998-04-06,45118
11320,Atilio,McAlpine,Staff,1990-04-06,45118
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,43021
11322,Nathalie,Pocchiola,Engineer,1992-07-07,43021
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,43021
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,54288
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,82210
11339,Flemming,Massonet,Senior Engineer,1989-12-19,40000
11347,Anneli,Jonsson,Engineer,1986-04-20,41524
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,41524
11365,Toshimi,Shinomoto,Engineer,1997-12-18,56463
11376,Valery,Suomi,Senior Staff,1994-03-14,46964
11376,Valery,Suomi,Staff,1986-03-14,46964
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,53345
11380,Kenroku,Pelc,Engineer,1996-04-18,53345
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,53345
11385,Shiv,Ullian,Engineer,1999-08-08,40000
11386,Alselm,Assaf,Engineer,1987-11-30,47726
11386,Alselm,Assaf,Senior Engineer,1993-11-29,47726
11393,Junsik,Junot,Engineer,1985-04-30,40000
11393,Junsik,Junot,Senior Engineer,1992-04-30,40000
11398,Oscar,Peir,Senior Staff,2001-09-07,44625
11398,Oscar,Peir,Staff,1994-09-07,44625
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,42907
11415,Sanjiv,Anido,Engineer,1996-12-07,40000
11421,Josyula,Msuda,Engineer,1986-09-02,52416
11421,Josyula,Msuda,Senior Engineer,1995-09-02,52416
11441,Marlo,Aingworth,Senior Staff,1987-03-27,67352
11449,Kotesh,Asser,Engineer,1995-02-03,61434
11449,Kotesh,Asser,Senior Engineer,2000-02-03,61434
11459,Duke,Suomi,Senior Staff,1992-05-02,40000
11459,Duke,Suomi,Staff,1986-05-03,40000
11469,Guttorm,Giaccio,Engineer,1994-09-08,44625
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,44625
11506,Rance,Picel,Staff,1996-04-08,89747
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,40000
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,40000
11513,Otmar,Mahnke,Senior Staff,1998-08-25,82525
11513,Otmar,Mahnke,Staff,1992-08-25,82525
11515,Ulf,Basawa,Staff,1998-09-21,70182
11518,Jinxi,Oxman,Senior Staff,1999-09-22,40000
11518,Jinxi,Oxman,Staff,1994-09-22,40000
11524,Xiadong,Standera,Senior Engineer,1996-07-05,41081
11527,Alagu,Boyle,Staff,1999-01-28,60212
11528,Zito,Dolinsky,Technique Leader,1987-06-15,44026
11537,DAIDA,Pehl,Senior Staff,1986-07-06,96023
11554,Subhash,Taubenfeld,Staff,1998-07-15,46065
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14,40000
11555,Kotesh,Perfilyeva,Staff,1986-10-14,40000
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,86261
11567,Teiji,Mitzlaff,Staff,1988-02-03,86261
11568,Martins,Fujisaki,Engineer,1992-03-13,54673
11568,Martins,Fujisaki,Senior Engineer,2000-03-13,54673
11603,Herb,Swen,Senior Staff,1994-04-13,69180
11603,Herb,Swen,Staff,1985-04-13,69180
11607,Tomokazu,Foong,Engineer,1995-04-19,49584
11615,Shem,Isaak,Senior Staff,2000-08-28,46591
11615,Shem,Isaak,Staff,1991-08-29,46591
11624,Adil,Gammage,Engineer,1989-07-15,42001
11624,Adil,Gammage,Senior Engineer,1996-07-15,42001
11628,Fan,Malinowski,Engineer,1988-10-23,43966
11628,Fan,Malinowski,Senior Engineer,1997-10-23,43966
11640,Valeri,Coorg,Senior Engineer,1988-09-26,52520
11647,Magy,Nitsche,Engineer,1988-05-11,40000
11647,Magy,Nitsche,Senior Engineer,1993-05-11,40000
11660,Gill,Stenning,Senior Staff,1994-11-22,65758
11660,Gill,Stenning,Staff,1986-11-22,65758
11673,Henk,Felder,Technique Leader,1989-06-10,40000
11676,Valeri,Ferriere,Engineer,1998-07-15,43310
11681,Fumitake,Benzmuller,Engineer,1988-08-27,40000
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,40000
11684,Oksana,Gide,Senior Staff,1995-02-21,68753
11684,Oksana,Gide,Staff,1986-02-21,68753
11696,Dante,Rothe,Senior Staff,1994-10-23,51633
11696,Dante,Rothe,Staff,1985-10-23,51633
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,40000
11735,Amalendu,Picci,Senior Staff,1997-07-14,40000
11735,Amalendu,Picci,Staff,1988-07-14,40000
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,55951
11746,Koichi,Marrakchi,Staff,1988-11-17,55951
11751,Jiafu,Emiris,Senior Staff,1993-11-03,40000
11751,Jiafu,Emiris,Staff,1988-11-03,40000
11764,Sanjay,Anick,Engineer,1991-12-16,64875
11764,Sanjay,Anick,Senior Engineer,1996-12-15,64875
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,40000
11769,Chandrasekaran,Lampe,Staff,1993-10-22,40000
11772,Gaurav,Penz,Engineer,1999-11-07,61295
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,88050
11797,Chenxi,Thambidurai,Staff,1988-08-30,88050
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,41256
11817,Niranjan,Markovitch,Senior Staff,1993-04-12,50638
11817,Niranjan,Markovitch,Staff,1986-04-12,50638
11832,Arto,Zlotek,Engineer,1996-02-04,40000
11844,Shawna,Demeyer,Engineer,1988-01-27,78049
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,78049
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,61941
11853,Zeljko,Kusakabe,Staff,1988-11-17,61941
11857,Divier,Farrag,Senior Staff,1986-08-27,94805
11864,Pradeep,Kriebel,Staff,1995-11-02,52517
11871,Nalini,Sommen,Engineer,1993-10-13,67424
11871,Nalini,Sommen,Senior Engineer,1998-10-13,67424
11872,Cheong,Riexinger,Senior Staff,2002-02-12,43159
11872,Cheong,Riexinger,Staff,1994-02-12,43159
11894,Mitchel,Validov,Senior Engineer,1988-06-22,56198
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,80049
11897,Cordelia,Setlzner,Staff,1988-06-16,80049
11906,Hideo,Boguraev,Engineer,1999-02-07,81324
11915,Miomir,Mawatari,Engineer,1992-06-28,58042
11915,Miomir,Mawatari,Senior Engineer,2001-06-28,58042
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,73369
11931,Gunilla,Chiodo,Staff,1991-01-13,73369
11933,Basil,Erman,Engineer,1987-06-13,56130
11933,Basil,Erman,Senior Engineer,1992-06-12,56130
11949,Martijn,Harbusch,Technique Leader,1985-03-11,40000
11983,Jaana,Hedayat,Engineer,1986-10-11,40000
11983,Jaana,Hedayat,Senior Engineer,1994-10-11,40000
11993,Marit,Dalphin,Senior Staff,1996-10-22,56505
12011,Zhilian,Coorg,Senior Staff,1997-07-22,85833
12011,Zhilian,Coorg,Staff,1988-07-22,85833
12036,Mads,Ratzlaff,Senior Staff,1995-09-05,67143
12036,Mads,Ratzlaff,Staff,1986-09-05,67143
12037,Arunas,Katzenelson,Senior Staff,1992-09-30,47805
12037,Arunas,Katzenelson,Staff,1986-10-01,47805
12050,Yuchang,Tchuente,Assistant Engineer,1989-04-01,46704
12050,Yuchang,Tchuente,Engineer,1996-04-01,46704
12062,Margareta,Worfolk,Senior Staff,1996-01-04,44199
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,51928
12069,Ayonca,Burnard,Engineer,1990-05-13,51928
12069,Ayonca,Burnard,Senior Engineer,1995-05-13,51928
12070,Ger,Shokrollahi,Technique Leader,1988-11-14,50233
12076,Karlis,Siprelle,Senior Staff,1985-03-25,75381
12082,Xinan,Yamaashi,Senior Staff,1992-01-29,72118
12082,Xinan,Yamaashi,Staff,1986-01-29,72118
12089,Bilhanan,Socorro,Senior Staff,1994-10-22,46288
12089,Bilhanan,Socorro,Staff,1986-10-22,46288
12099,Nobuyoshi,Kuzuoka,Senior Staff,1999-02-15,104610
12099,Nobuyoshi,Kuzuoka,Staff,1994-02-15,104610
12112,Satyanarayana,Avouris,Senior Staff,1997-09-26,76538
12112,Satyanarayana,Avouris,Staff,1989-09-26,76538
12122,Satoru,Krone,Engineer,1987-07-24,46398
12122,Satoru,Krone,Senior Engineer,1992-07-23,46398
12123,Xiahua,Syrzycki,Senior Staff,1994-07-18,64879
12123,Xiahua,Syrzycki,Staff,1987-07-18,64879
12125,Shounak,Erman,Engineer,1997-03-31,41215
12149,Suebskul,Grandbois,Senior Staff,1988-10-01,109934
12159,Shem,Perly,Senior Engineer,1985-07-17,61210
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,41951
12183,Harngdar,Iisaku,Engineer,1998-04-04,40000
12192,Feiyu,Klyachko,Engineer,1986-09-02,41625
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02,41625
12205,Sushant,Rossi,Senior Engineer,1987-11-11,40000
12206,Barton,Janetzko,Assistant Engineer,1985-03-27,40000
12206,Barton,Janetzko,Engineer,1993-03-27,40000
12206,Barton,Janetzko,Senior Engineer,2001-03-27,40000
12218,Yaghout,Strooper,Engineer,1991-03-12,40000
12218,Yaghout,Strooper,Senior Engineer,2000-03-11,40000
12221,Vincent,Melter,Engineer,1985-09-16,56736
12221,Vincent,Melter,Senior Engineer,1991-09-16,56736
12222,Abdelwaheb,Holburn,Senior Staff,1996-08-14,55840
12222,Abdelwaheb,Holburn,Staff,1987-08-15,55840
12223,Niteen,Koyama,Engineer,1986-08-13,54459
12223,Niteen,Koyama,Senior Engineer,1995-08-13,54459
12247,Subbu,Penttonen,Technique Leader,1985-04-09,59183
12249,Eldridge,Sadowski,Engineer,1987-06-21,70099
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,70099
12256,Guadalupe,Reghbati,Senior Staff,1992-08-26,40000
12256,Guadalupe,Reghbati,Staff,1985-08-26,40000
12264,Mart,Pagter,Engineer,1998-01-09,51816
12270,Shakhar,Kornyak,Senior Staff,1996-08-19,52840
12270,Shakhar,Kornyak,Staff,1989-08-19,52840
12272,Behnaam,Grandbois,Senior Staff,1992-12-07,43811
12272,Behnaam,Grandbois,Staff,1987-12-08,43811
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,58741
12308,Mototsugu,Cronau,Staff,1985-08-11,58741
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,40000
12327,DAIDA,Bruckman,Engineer,1986-10-16,67449
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15,67449
12341,Rasiah,Luga,Engineer,1985-05-25,40000
12341,Rasiah,Luga,Senior Engineer,1990-05-25,40000
12343,Sorina,Slaats,Senior Staff,1997-08-25,52134
12343,Sorina,Slaats,Staff,1988-08-25,52134
12365,Kamakshi,Bisiani,Engineer,1988-09-12,40000
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12,40000
12373,Mooi,Driscoll,Senior Staff,1993-11-11,75986
12395,Sanjit,Felder,Senior Staff,1995-06-05,66909
12399,Mihalis,Luga,Senior Staff,1996-12-06,85582
12399,Mihalis,Luga,Staff,1987-12-07,85582
12411,Shao,Ibel,Senior Staff,1991-08-17,97610
12411,Shao,Ibel,Staff,1986-08-17,97610
12413,Hugh,Gadepally,Engineer,1994-03-04,53179
12413,Hugh,Gadepally,Senior Engineer,1999-03-04,53179
12417,Dannz,Spelt,Senior Engineer,1998-02-02,67342
12422,Berhard,Demos,Senior Staff,2001-06-07,71376
12422,Berhard,Demos,Staff,1993-06-07,71376
12454,Kerryn,Farris,Staff,1998-12-18,41347
12464,Shai,Milicic,Staff,1998-06-01,50448
12475,Filipe,Roison,Engineer,1987-04-26,40000
12475,Filipe,Roison,Senior Engineer,1996-04-25,40000
12487,Mona,Reghbati,Senior Staff,1998-12-07,40000
12489,Arnould,Munck,Senior Engineer,1986-04-11,63306
12490,Jackson,Muchinsky,Engineer,1994-05-09,40000
12490,Jackson,Muchinsky,Senior Engineer,2000-05-08,40000
12497,Stein,Penz,Senior Staff,1997-09-25,81191
12497,Stein,Penz,Staff,1989-09-25,81191
12501,Morrie,Matheson,Senior Staff,1986-06-05,76082
12504,Adly,Rosaz,Engineer,1997-08-14,40000
12514,Tomofumi,Melter,Engineer,1999-11-13,54241
12528,Conor,Cincotta,Senior Staff,1997-09-24,40000
12528,Conor,Cincotta,Staff,1988-09-24,40000
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,66715
12541,Shih,Nanard,Senior Staff,1996-08-31,93105
12541,Shih,Nanard,Staff,1988-08-31,93105
12542,Kazuhide,Bouloucos,Senior Staff,1993-09-11,44176
12542,Kazuhide,Bouloucos,Staff,1987-09-12,44176
12551,Jeane,Tzvieli,Engineer,1987-12-04,40000
12551,Jeane,Tzvieli,Senior Engineer,1993-12-03,40000
12553,Aral,Vesna,Senior Staff,1987-02-28,40000
12557,Stafford,Kopetz,Senior Engineer,1988-03-20,41840
12589,Anoosh,Chleq,Engineer,1988-09-08,59441
12589,Anoosh,Chleq,Senior Engineer,1997-09-08,59441
12596,Breannda,Roisin,Senior Staff,1996-09-29,40000
12601,Ghassan,Simkin,Assistant Engineer,1992-07-09,41714
12601,Ghassan,Simkin,Engineer,1997-07-09,41714
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,41714
12608,Nectarios,Mondadori,Senior Staff,2000-02-22,40000
12608,Nectarios,Mondadori,Staff,1991-02-22,40000
12635,Xinyu,Restivo,Engineer,1995-02-03,40000
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,40000
12638,Yuqun,Seiwald,Engineer,1999-04-29,56677
12642,Suebskul,Gips,Senior Staff,2001-10-28,68271
12642,Suebskul,Gips,Staff,1996-10-28,68271
12651,Pragnesh,Bael,Senior Staff,1988-01-27,75150
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,69016
12662,Leucio,Alvarado,Engineer,1994-08-27,69016
12663,Nobuyoshi,Stellhorn,Technique Leader,1986-09-29,49966
12664,Zhonghua,Parveen,Staff,1999-08-04,40000
12689,Luerbio,Boudaillier,Engineer,1992-11-23,59689
12689,Luerbio,Boudaillier,Senior Engineer,2001-11-23,59689
12691,Oddvar,Gils,Engineer,1992-08-25,48493
