emp_no,first_name,last_name,title,from_date,to_date
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,9999-01-01
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,Senior Engineer,2000-05-09,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,9999-01-01
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01
35793,Oscar,Kusalik,Senior Staff,1996-05-10,9999-01-01
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01
38593,Huei,Orsini,Senior Engineer,1995-06-04,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01
39000,Martijn,Vendrig,Senior Staff,2002-03-03,9999-01-01
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Senior Staff,2002-07-04,9999-01-01
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,9999-01-01
47016,Toong,Litecky,Senior Staff,1994-03-01,9999-01-01
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01
48882,Leen,Lamparter,Senior Engineer,2001-06-07,9999-01-01
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01
49017,Filipp,Flanders,Senior Engineer,1999-11-26,9999-01-01
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,9999-01-01
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,9999-01-01
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01
52970,Lobel,Werthner,Senior Engineer,1997-03-17,9999-01-01
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,9999-01-01
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,9999-01-01
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,9999-01-01
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,9999-01-01
55857,Adin,Scallan,Senior Staff,1996-09-14,9999-01-01
56105,Makato,Remmers,Senior Engineer,1994-04-16,9999-01-01
56209,Remzi,Douceur,Senior Engineer,1998-12-01,9999-01-01
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,9999-01-01
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01
58384,Mariusz,Vural,Senior Engineer,2001-11-14,9999-01-01
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01
59869,Zsolt,Riefers,Senior Staff,1994-09-25,9999-01-01
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Engineer,2001-09-22,9999-01-01
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,9999-01-01
60821,Moty,Mersereau,Senior Staff,1999-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01
60875,Rildo,Masaki,Senior Engineer,1997-01-14,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,9999-01-01
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,9999-01-01
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,9999-01-01
61873,Woody,Rusmann,Engineer,2002-02-26,9999-01-01
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,9999-01-01
62046,Karlis,Nanard,Senior Engineer,2001-09-19,9999-01-01
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,9999-01-01
64532,Atilio,Segond,Senior Engineer,1996-11-28,9999-01-01
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,9999-01-01
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Senior Engineer,1998-01-27,9999-01-01
65883,Patricia,Pepe,Senior Staff,1996-04-18,9999-01-01
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,9999-01-01
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,9999-01-01
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01
69867,Miyeon,Rothe,Senior Staff,1997-04-08,9999-01-01
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01
70469,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01
71066,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01
71141,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01
71188,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01
71745,Adil,Laventhal,Engineer,2001-05-13,9999-01-01
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Senior Engineer,1996-07-10,9999-01-01
72640,Honglan,Hutton,Senior Engineer,1998-10-04,9999-01-01
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01
75703,Kyoichi,Erman,Senior Engineer,2001-07-25,9999-01-01
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01
76640,Tristan,Mitsuhashi,Senior Engineer,2000-07-12,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01
77815,Ronghao,Picaronny,Engineer,2002-06-09,9999-01-01
78363,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01
80203,Shakhar,Baik,Staff,1993-12-01,9999-01-01
79763,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01
79895,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01
80731,Shaowen,Eldridge,Senior Staff,1994-12-05,9999-01-01
80432,Stella,Figueira,Senior Staff,1998-03-14,9999-01-01
80850,Koldo,Luit,Senior Engineer,2001-04-15,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01
80948,Harjit,Bardell,Senior Engineer,1996-05-23,9999-01-01
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,9999-01-01
81644,Divine,Ghandeharizadeh,Staff,1997-11-28,9999-01-01
81545,Larisa,Kornyak,Technique Leader,1996-03-10,9999-01-01
82069,Yechezkel,Perfilyeva,Senior Engineer,2000-11-02,9999-01-01
82098,Poornachandra,Wilharm,Senior Engineer,1998-04-20,9999-01-01
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01
82351,Stevo,Thambidurai,Senior Staff,1989-10-27,9999-01-01
82511,Uwe,Koblick,Engineer,1998-04-04,9999-01-01
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01
82928,Alselm,Rikino,Senior Engineer,1997-11-16,9999-01-01
83280,Francesca,Ellozy,Senior Engineer,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,Senior Engineer,2000-01-09,9999-01-01
83509,Breannda,Collavizza,Senior Engineer,1994-10-12,9999-01-01
83544,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01
83714,Ohad,Kilgore,Senior Engineer,1997-07-01,9999-01-01
83941,Zsolt,Hagimont,Senior Staff,2001-10-08,9999-01-01
83805,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01
84179,Shuichi,Nanard,Senior Engineer,1989-03-14,9999-01-01
84029,Babette,Eugenio,Staff,1997-09-21,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01
84508,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01
84840,Sverrir,Neimat,Staff,1996-11-03,9999-01-01
85216,Ferdinand,Rosiles,Senior Staff,1997-07-08,9999-01-01
84922,Parke,Unno,Engineer,1996-07-01,9999-01-01
84942,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01
85414,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01
85288,Younwoo,Luders,Senior Engineer,2002-03-31,9999-01-01
85874,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01
85445,Yongdong,Pollock,Staff,1998-03-17,9999-01-01
85702,Udi,Merks,Engineer,1997-08-15,9999-01-01
86655,Zhenhua,Lorys,Engineer,1995-08-21,9999-01-01
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01
86354,Ronghao,Segond,Senior Engineer,1993-09-13,9999-01-01
86422,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01
86546,Oldrich,Woycyznski,Senior Engineer,1990-05-15,9999-01-01
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01
87353,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01
87129,Keung,Neiman,Staff,1997-04-13,9999-01-01
87714,Khun,Janetzko,Engineer,1998-09-13,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,1991-12-10,9999-01-01
87783,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01
88103,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01
88647,Vasiliy,Ratnaker,Engineer,1995-08-09,9999-01-01
88958,Vojin,Coombs,Senior Staff,2002-07-23,9999-01-01
88965,Mang,Hedayat,Engineer,1995-05-22,9999-01-01
89207,Along,Erol,Senior Staff,1999-10-17,9999-01-01
89090,Tetsushi,Theuretzbacher,Senior Staff,1995-02-01,9999-01-01
89590,Guther,Rothenberg,Senior Staff,2000-08-07,9999-01-01
89161,Conal,Yetto,Senior Staff,1999-01-12,9999-01-01
89346,Mansur,Comyn,Engineer,1999-08-31,9999-01-01
89806,Xiadong,Shinomoto,Senior Engineer,2002-05-24,9999-01-01
89664,Pranjal,Rossi,Staff,1998-07-07,9999-01-01
89680,Aiman,Mawatari,Senior Engineer,1997-05-01,9999-01-01
89941,Arnould,Weedman,Senior Staff,1989-07-28,9999-01-01
90077,Vivian,Guerreiro,Engineer,1998-07-08,9999-01-01
